F45.8,306.8,12
F45.8,306.7,11
A18.02,711.48,10
F45.8,306.59,10
T42.6X1A,E852.8,10
T42.6X2A,E950.2,10
T42.6X3A,E962.0,10
T42.6X4A,E950.2,10
Z09,V67.9,10
Z13.89,V82.89,10
A18.01,720.81,9
A18.02,15.8,9
F45.8,306.53,9
H40.50X2,365.72,9
H40.50X3,365.73,9
H40.50X4,365.74,9
H40.51X2,365.72,9
H40.51X3,365.73,9
H40.51X4,365.74,9
H40.52X2,365.72,9
H40.52X3,365.73,9
H40.52X4,365.74,9
H40.53X2,365.72,9
H40.53X3,365.73,9
H40.53X4,365.74,9
T42.6X1A,967.8,9
T42.6X2A,967.8,9
T42.6X3A,967.8,9
T42.6X4A,967.8,9
Z09,V67.6,9
Z13.89,V82.6,9
C96.9,202.98,9
A18.01,15,8
A18.02,711.46,8
F03.90,290.9,8
F45.8,306.52,8
H40.50X2,365.64,8
H40.50X3,365.64,8
H40.50X4,365.64,8
H40.51X2,365.64,8
H40.51X3,365.64,8
H40.51X4,365.64,8
H40.52X2,365.64,8
H40.52X3,365.64,8
H40.52X4,365.64,8
H40.53X2,365.64,8
H40.53X3,365.64,8
H40.53X4,365.64,8
H83.2X9,386.58,8
S22.41XA,807.09,8
S22.41XB,807.19,8
S22.42XA,807.09,8
S22.42XB,807.19,8
S22.43XA,807.09,8
S22.43XB,807.19,8
T42.6X1A,E858.8,8
T42.6X2A,E950.4,8
T42.6X3A,E962.0,8
T42.6X4A,E980.4,8
Z09,V67.59,8
Z13.89,V82.4,8
Z38.7,V37.2,8
C96.9,202.97,8
A18.01,730.88,7
A18.02,15.2,7
F03.90,290.8,7
F45.8,306.5,7
H40.50X2,365.61,7
H40.50X3,365.61,7
H40.50X4,365.61,7
H40.51X2,365.61,7
H40.51X3,365.61,7
H40.51X4,365.61,7
H40.52X2,365.61,7
H40.52X3,365.61,7
H40.52X4,365.61,7
H40.53X2,365.61,7
H40.53X3,365.61,7
H40.53X4,365.61,7
H83.2X9,386.56,7
K64.0,455.8,7
K64.1,455.8,7
K64.2,455.8,7
K64.3,455.8,7
S09.391A,872.74,7
S09.392A,872.74,7
S09.399A,872.74,7
S22.41XA,807.08,7
S22.41XB,807.18,7
S22.42XA,807.08,7
S22.42XB,807.18,7
S22.43XA,807.08,7
S22.43XB,807.18,7
T42.6X1A,967.6,7
T42.6X2A,967.6,7
T42.6X3A,967.6,7
T42.6X4A,967.6,7
Z09,V67.51,7
Z11.8,V75.8,7
Z13.89,V82.0,7
Z38.7,V37.1,7
Z38.8,V37.01,7
C96.9,202.96,7
A18.01,15,6
A18.02,711.45,6
A18.84,425.8,6
F03.90,290.21,6
